Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget Margin,Budget Sales,Budget COGS,Date,Market,State,Area Code,Market Size,Product Type,Product,Type
42,83,140,57,41,18,364,50,80,130,50,1/1/10,South,Texas,254,Major Market,Herbal Tea,Lemon,Decaf
53,108,180,72,55,23,558,50,90,150,60,1/1/10,South,Texas,830,Major Market,Espresso,Caffe Latte,Regular
159,245,452,207,86,64,965,220,300,560,260,1/1/10,South,Texas,409,Major Market,Coffee,Columbian,Regular
68,107,190,83,39,27,623,100,130,230,100,1/1/10,South,Texas,325,Major Market,Coffee,Decaf Irish Cream,Decaf
44,68,114,46,24,12,777,40,60,100,40,1/1/10,West,Utah,435,Small Market,Espresso,Caffe Latte,Regular
34,63,112,49,29,16,623,40,60,100,40,1/1/10,West,Utah,435,Small Market,Espresso,Caffe Mocha,Regular
47,73,123,50,26,14,821,50,70,110,40,1/1/10,West,Utah,435,Small Market,Espresso,Decaf Espresso,Decaf
21,55,93,38,34,12,241,30,50,80,30,1/1/10,West,Utah,801,Small Market,Herbal Tea,Chamomile,Decaf
25,72,120,48,47,15,372,30,60,100,40,1/1/10,West,Utah,435,Small Market,Herbal Tea,Lemon,Decaf
-40,11,99,88,51,27,525,-30,10,80,70,1/1/10,West,Utah,435,Small Market,Herbal Tea,Mint,Decaf
-10,53,90,37,63,34,261,0,40,60,20,1/1/10,West,Utah,435,Small Market,Tea,Darjeeling,Regular
9,47,82,35,38,11,196,10,30,50,20,1/1/10,West,Utah,435,Small Market,Tea,Earl Grey,Regular
-9,36,65,29,45,11,169,10,30,40,10,1/1/10,West,Utah,435,Small Market,Tea,Green Tea,Regular
47,92,170,78,45,24,965,80,120,210,90,1/1/10,West,Utah,801,Small Market,Coffee,Amaretto,Regular
30,75,130,55,45,18,312,70,100,160,60,1/1/10,West,Utah,435,Small Market,Coffee,Columbian,Regular
39,105,190,85,66,32,494,70,130,230,100,1/1/10,West,Utah,801,Small Market,Coffee,Decaf Irish Cream,Decaf
140,228,456,228,88,63,1459,150,220,430,210,1/1/10,West,California,661,Major Market,Espresso,Caffe Latte,Regular
17,145,250,105,128,95,725,20,140,240,100,1/1/10,West,California,818,Major Market,Espresso,Caffe Mocha,Regular
203,312,546,234,109,77,1310,200,300,520,220,1/1/10,West,California,213,Major Market,Espresso,Decaf Espresso,Decaf
102,139,234,95,37,26,821,100,120,200,80,1/1/10,West,California,510,Major Market,Herbal Tea,Chamomile,Decaf
160,245,452,207,85,64,965,160,220,390,170,1/1/10,West,California,310,Major Market,Herbal Tea,Lemon,Decaf
67,107,190,83,40,27,623,60,90,160,70,1/1/10,West,California,707,Major Market,Herbal Tea,Mint,Decaf
94,130,219,89,36,24,777,80,90,140,50,1/1/10,West,California,619,Major Market,Tea,Darjeeling,Regular
54,80,134,54,26,15,456,60,60,90,30,1/1/10,West,California,650,Major Market,Tea,Earl Grey,Regular
54,108,180,72,54,23,558,50,80,120,40,1/1/10,West,California,760,Major Market,Tea,Green Tea,Regular
-2,50,145,95,52,30,608,30,70,180,110,1/1/10,West,California,916,Major Market,Coffee,Amaretto,Regular
262,407,678,271,145,94,2101,370,500,840,340,1/1/10,West,California,559,Major Market,Coffee,Columbian,Regular
-117,-26,118,144,91,47,862,-120,-40,140,180,1/1/10,West,California,650,Major Market,Coffee,Decaf Irish Cream,Decaf
11,26,43,17,15,4,777,20,30,40,10,1/1/10,West,Nevada,775,Small Market,Espresso,Caffe Latte,Regular
10,27,45,18,17,5,821,20,30,40,10,1/1/10,West,Nevada,702,Small Market,Espresso,Caffe Mocha,Regular
11,26,43,17,15,4,777,20,30,40,10,1/1/10,West,Nevada,775,Small Market,Espresso,Decaf Espresso,Decaf
4,34,62,28,30,8,965,20,40,70,30,1/1/10,West,Nevada,775,Small Market,Coffee,Decaf Irish Cream,Decaf
16,145,250,105,129,95,725,30,130,220,90,1/1/10,West,Nevada,702,Small Market,Herbal Tea,Chamomile,Decaf
111,201,345,144,90,47,862,120,180,300,120,1/1/10,West,Nevada,775,Small Market,Herbal Tea,Lemon,Decaf
86,139,234,95,53,30,608,90,120,200,80,1/1/10,West,Nevada,702,Small Market,Herbal Tea,Mint,Decaf
203,312,546,234,109,77,1310,150,220,370,150,1/1/10,West,Nevada,775,Small Market,Tea,Darjeeling,Regular
141,228,456,228,87,63,1459,100,160,310,150,1/1/10,West,Nevada,775,Small Market,Tea,Earl Grey,Regular
-354,-245,17,245,126,93,1419,-240,-160,0,160,1/1/10,West,Nevada,702,Small Market,Tea,Green Tea,Regular
-3,42,76,34,45,12,197,10,50,90,40,1/1/10,West,Nevada,702,Small Market,Coffee,Columbian,Regular
16,72,130,58,56,22,338,20,70,120,50,1/1/10,West,Oregon,503,Small Market,Espresso,Caffe Latte,Regular
33,80,140,60,47,19,336,50,80,130,50,1/1/10,West,Oregon,503,Small Market,Espresso,Caffe Mocha,Regular
99,171,341,170,72,47,1091,100,160,320,160,1/1/10,West,Oregon,971,Small Market,Espresso,Decaf Espresso,Decaf
42,83,140,57,41,18,364,70,100,170,70,1/1/10,West,Oregon,971,Small Market,Coffee,Decaf Irish Cream,Decaf
33,54,90,36,21,10,777,40,40,70,30,1/1/10,West,Oregon,971,Small Market,Herbal Tea,Chamomile,Decaf
29,56,100,44,27,14,623,30,50,80,30,1/1/10,West,Oregon,503,Small Market,Herbal Tea,Lemon,Decaf
28,48,80,32,20,8,456,30,30,50,20,1/1/10,West,Oregon,971,Small Market,Tea,Darjeeling,Regular
68,126,210,84,58,27,651,60,90,140,50,1/1/10,West,Oregon,503,Small Market,Tea,Earl Grey,Regular
67,116,200,84,49,26,500,50,80,130,50,1/1/10,West,Oregon,541,Small Market,Tea,Green Tea,Regular
1,87,150,63,86,57,435,40,110,180,70,1/1/10,West,Oregon,541,Small Market,Coffee,Amaretto,Regular
28,93,160,67,65,22,400,60,120,200,80,1/1/10,West,Oregon,503,Small Market,Coffee,Columbian,Regular
35,62,110,48,27,15,623,40,60,100,40,1/1/10,West,Washington,425,Small Market,Espresso,Caffe Latte,Regular
13,66,120,54,53,20,312,20,60,110,50,1/1/10,West,Washington,253,Small Market,Espresso,Caffe Mocha,Regular
39,81,150,69,42,21,965,60,80,140,60,1/1/10,West,Washington,206,Small Market,Espresso,Decaf Espresso,Decaf
9,111,190,79,102,72,551,60,140,230,90,1/1/10,West,Washington,509,Small Market,Coffee,Decaf Irish Cream,Decaf
115,186,310,124,71,40,961,120,170,270,100,1/1/10,West,Washington,206,Small Market,Herbal Tea,Chamomile,Decaf
30,51,85,34,21,9,777,50,50,70,20,1/1/10,West,Washington,360,Small Market,Herbal Tea,Lemon,Decaf
70,113,180,67,43,20,400,50,80,120,40,1/1/10,West,Washington,360,Small Market,Tea,Darjeeling,Regular
48,89,150,61,41,19,390,40,60,100,40,1/1/10,West,Washington,253,Small Market,Tea,Earl Grey,Regular
8,105,180,75,97,68,522,20,80,120,40,1/1/10,West,Washington,360,Small Market,Tea,Green Tea,Regular
38,77,130,53,39,16,338,70,100,160,60,1/1/10,West,Washington,206,Small Market,Coffee,Columbian,Regular
105,144,243,99,39,27,766,120,150,250,100,2/1/10,Central,Colorado,303,Major Market,Coffee,Amaretto,Regular
68,107,190,83,39,27,613,80,110,190,80,2/1/10,Central,Colorado,720,Major Market,Coffee,Columbian,Regular
99,137,232,95,38,26,809,110,140,240,100,2/1/10,Central,Colorado,719,Major Market,Coffee,Decaf Irish Cream,Decaf
30,56,100,44,26,14,618,30,50,80,30,2/1/10,Central,Colorado,970,Major Market,Tea,Green Tea,Regular
80,112,189,77,32,21,449,110,140,220,80,2/1/10,Central,Colorado,970,Major Market,Espresso,Caffe Mocha,Regular
59,114,189,75,55,24,549,90,140,220,80,2/1/10,Central,Colorado,303,Major Market,Espresso,Decaf Espresso,Decaf
99,170,340,170,71,47,1073,100,150,290,140,2/1/10,Central,Colorado,970,Major Market,Herbal Tea,Chamomile,Decaf
-3,75,129,54,78,49,427,10,70,110,40,2/1/10,Central,Colorado,970,Major Market,Herbal Tea,Lemon,Decaf
33,80,140,60,47,19,329,40,70,120,50,2/1/10,Central,Colorado,303,Major Market,Herbal Tea,Mint,Decaf
18,73,132,59,55,22,331,10,60,110,50,2/1/10,Central,Colorado,719,Major Market,Tea,Darjeeling,Regular
34,74,136,62,40,19,958,30,60,110,50,2/1/10,Central,Colorado,720,Major Market,Tea,Earl Grey,Regular
115,206,354,148,91,48,844,140,220,370,150,2/1/10,Central,Illinois,312,Major Market,Coffee,Columbian,Regular
95,150,254,104,55,33,596,100,150,260,110,2/1/10,Central,Illinois,847,Major Market,Coffee,Decaf Irish Cream,Decaf
201,311,545,234,110,77,1282,260,370,640,270,2/1/10,Central,Illinois,708,Major Market,Espresso,Caffe Mocha,Regular
142,229,457,228,87,63,1436,180,270,530,260,2/1/10,Central,Illinois,312,Major Market,Espresso,Decaf Espresso,Decaf
105,144,243,99,39,27,766,110,130,210,80,2/1/10,Central,Illinois,815,Major Market,Herbal Tea,Chamomile,Decaf
68,107,190,83,39,27,613,60,90,160,70,2/1/10,Central,Illinois,773,Major Market,Herbal Tea,Lemon,Decaf
99,137,232,95,38,26,809,100,120,200,80,2/1/10,Central,Illinois,847,Major Market,Herbal Tea,Mint,Decaf
79,112,189,77,33,21,449,80,100,160,60,2/1/10,Central,Illinois,309,Major Market,Tea,Darjeeling,Regular
59,114,189,75,55,24,549,50,100,160,60,2/1/10,Central,Illinois,630,Major Market,Tea,Earl Grey,Regular
10,27,45,18,17,5,818,20,30,40,10,2/1/10,Central,Iowa,712,Small Market,Coffee,Amaretto,Regular
6,35,63,28,29,8,961,20,40,60,20,2/1/10,Central,Iowa,319,Small Market,Coffee,Columbian,Regular
12,31,54,23,19,7,620,20,30,50,20,2/1/10,Central,Iowa,712,Small Market,Coffee,Decaf Irish Cream,Decaf
11,28,47,19,17,5,774,20,30,50,20,2/1/10,Central,Iowa,319,Small Market,Espresso,Caffe Mocha,Regular
32,43,43,0,11,0,774,40,50,50,0,2/1/10,Central,Iowa,712,Small Market,Espresso,Decaf Espresso,Decaf
201,311,545,234,110,77,1282,190,270,470,200,2/1/10,Central,Iowa,563,Small Market,Herbal Tea,Chamomile,Decaf
95,150,254,104,55,33,596,110,140,220,80,2/1/10,Central,Iowa,563,Small Market,Herbal Tea,Lemon,Decaf
141,229,457,228,88,63,1436,140,210,400,190,2/1/10,Central,Iowa,563,Small Market,Tea,Darjeeling,Regular
169,294,534,240,125,91,1391,150,260,460,200,2/1/10,Central,Iowa,515,Small Market,Tea,Earl Grey,Regular
42,107,193,86,65,32,484,50,110,200,90,2/1/10,Central,Missouri,314,Small Market,Coffee,Columbian,Regular
46,90,165,75,44,23,956,60,100,170,70,2/1/10,Central,Missouri,816,Small Market,Coffee,Decaf Irish Cream,Decaf
-4,41,74,33,45,12,193,0,40,60,20,2/1/10,Central,Missouri,573,Small Market,Tea,Green Tea,Regular
48,73,123,50,25,14,814,70,90,140,50,2/1/10,Central,Missouri,573,Small Market,Espresso,Caffe Mocha,Regular
38,61,103,42,23,11,771,60,80,120,40,2/1/10,Central,Missouri,573,Small Market,Espresso,Decaf Espresso,Decaf
-8,61,104,43,69,39,256,10,60,90,30,2/1/10,Central,Missouri,636,Small Market,Herbal Tea,Chamomile,Decaf
-32,18,102,84,50,26,625,-20,10,80,70,2/1/10,Central,Missouri,417,Small Market,Herbal Tea,Lemon,Decaf
9,47,82,35,38,11,191,10,40,70,30,2/1/10,Central,Missouri,816,Small Market,Tea,Darjeeling,Regular
-7,38,68,30,45,11,165,-10,30,50,20,2/1/10,Central,Missouri,314,Small Market,Tea,Earl Grey,Regular
33,80,140,60,47,19,329,50,80,140,60,2/1/10,Central,Ohio,937,Major Market,Coffee,Amaretto,Regular
38,76,128,52,38,16,357,50,80,130,50,2/1/10,Central,Ohio,513,Major Market,Coffee,Columbian,Regular
-3,75,129,54,78,49,427,20,80,130,50,2/1/10,Central,Ohio,614,Major Market,Coffee,Decaf Irish Cream,Decaf
62,120,200,80,58,26,640,60,110,170,60,2/1/10,Central,Ohio,614,Major Market,Tea,Darjeeling,Regular
71,120,206,86,49,26,490,70,110,180,70,2/1/10,Central,Ohio,513,Major Market,Tea,Earl Grey,Regular
18,73,132,59,55,22,331,40,90,150,60,2/1/10,Central,Ohio,614,Major Market,Espresso,Decaf Espresso,Decaf
98,170,340,170,72,47,1073,140,210,400,190,2/1/10,Central,Ohio,234,Major Market,Espresso,Caffe Mocha,Regular
17,34,56,22,17,6,452,30,30,40,10,2/1/10,Central,Ohio,330,Major Market,Herbal Tea,Chamomile,Decaf
28,48,80,32,20,8,817,50,50,70,20,2/1/10,Central,Ohio,740,Major Market,Herbal Tea,Lemon,Decaf
12,65,118,53,53,20,306,30,70,120,50,2/1/10,Central,Wisconsin,262,Small Market,Coffee,Amaretto,Regular
15,128,220,92,113,83,541,40,140,230,90,2/1/10,Central,Wisconsin,920,Small Market,Coffee,Columbian,Regular
50,103,180,77,53,25,423,60,100,180,80,2/1/10,Central,Wisconsin,414,Small Market,Coffee,Decaf Irish Cream,Decaf
41,81,137,56,40,17,382,50,80,120,40,2/1/10,Central,Wisconsin,920,Small Market,Tea,Darjeeling,Regular
3,90,155,65,87,58,513,10,80,130,50,2/1/10,Central,Wisconsin,414,Small Market,Tea,Earl Grey,Regular
35,62,110,48,27,15,617,50,70,120,50,2/1/10,Central,Wisconsin,715,Small Market,Espresso,Decaf Espresso,Decaf
42,84,154,70,42,21,957,60,100,180,80,2/1/10,Central,Wisconsin,414,Small Market,Espresso,Caffe Mocha,Regular
